source_attack,sensor,low,high,target_coverage,other_coverage,specificity_score,fallback_selected,source_attacks,feature_name
Attack_39,AIT201,170.0205,170.0205,1.0,0.0044461109920719945,0.995553889007928,False,Attack_39,AIT201_ATTACK_RANGE_000
Attack_40,AIT201,170.0526,170.0846,0.9746835443037974,0.0013896683503033219,0.9732938759534941,False,Attack_40,AIT201_ATTACK_RANGE_001
Attack_10,AIT201,263.1377,263.2018,1.0,0.028112342784054573,0.9718876572159454,False,Attack_10,AIT201_ATTACK_RANGE_002
Attack_35,AIT201,176.6534,176.8777,0.9869791666666666,0.01870036488516849,0.9682788017814982,False,Attack_35,AIT201_ATTACK_RANGE_003
Attack_25,AIT201,220.2961,220.3922,0.9754601226993865,0.014017811499448436,0.9614423111999381,False,Attack_25,AIT201_ATTACK_RANGE_004
Attack_6,AIT201,263.4261,263.4581,0.9807692307692307,0.02296,0.9578092307692307,False,Attack_6,AIT201_ATTACK_RANGE_005
Attack_33,AIT201,177.4225,177.4545,0.952112676056338,0.002144714618911021,0.949967961437427,False,Attack_33,AIT201_ATTACK_RANGE_006
Attack_22,AIT201,239.6821,239.8103,0.9459459459459459,5.36394357131363e-05,0.9458923065102328,False,Attack_22,AIT201_ATTACK_RANGE_007
Attack_24,AIT201,219.9756,220.3922,0.9765625,0.033983957219251335,0.9425785427807487,False,Attack_24,AIT201_ATTACK_RANGE_008
Attack_41,AIT201,168.9951,169.7962,0.9611940298507463,0.020872342769027427,0.9403216870817189,False,Attack_41,AIT201_ATTACK_RANGE_009
Attack_13,AIT201,260.2538,260.382,0.9516129032258065,0.013077128369362156,0.9385357748564443,False,Attack_13,AIT201_ATTACK_RANGE_010
Attack_17,AIT201,260.0936,260.3179,0.9773123909249564,0.039236307742092066,0.9380760831828643,False,Attack_17,AIT201_ATTACK_RANGE_011
Attack_30,AIT201,181.1074,181.2356,0.9455128205128205,0.007570806100217865,0.9379420144126026,False,Attack_30,AIT201_ATTACK_RANGE_012
Attack_11,AIT201,263.1056,263.1697,0.9575892857142857,0.020345087078047733,0.937244198636238,False,Attack_11,AIT201_ATTACK_RANGE_013
Attack_38,AIT201,169.8923,169.9244,0.9642857142857143,0.036492840350502244,0.927792873935212,False,Attack_38,AIT201_ATTACK_RANGE_014
Attack_27,AIT201,188.5734,190.2717,0.9304733727810651,0.0027820625826355224,0.9276913101984297,False,Attack_27,AIT201_ATTACK_RANGE_015
Attack_19,AIT201,251.1856,251.3458,0.9516908212560387,0.037250660898822396,0.9144401603572163,False,Attack_19,AIT201_ATTACK_RANGE_016
Attack_1,AIT201,262.3045,262.6891,0.9521276595744681,0.03836982440927813,0.9137578351651899,False,Attack_1,AIT201_ATTACK_RANGE_017
Attack_7,AIT201,263.49331,263.6824,0.9154518950437318,0.006190871814113044,0.9092610232296188,False,Attack_7,AIT201_ATTACK_RANGE_018
Attack_23,AIT201,234.1387,234.4591,0.9102333931777379,0.0013747001266880509,0.9088586930510498,False,Attack_23,AIT201_ATTACK_RANGE_019
Attack_16,AIT201,261.2151,262.0482,0.9227272727272727,0.016668447483705523,0.9060588252435672,False,Attack_16,AIT201_ATTACK_RANGE_020
Attack_2,AIT201,262.3045,262.4007,0.9265536723163842,0.02383250227869819,0.902721170037686,False,Attack_2,AIT201_ATTACK_RANGE_021
Attack_21,AIT201,251.3458,251.506,0.9357638888888888,0.039050701186623515,0.8967131877022654,False,Attack_21,AIT201_ATTACK_RANGE_022
Attack_20,AIT201,251.2497,251.361825,0.9177215189873418,0.0341456882699518,0.88357583071739,False,Attack_20,AIT201_ATTACK_RANGE_023
Attack_37,AIT201,169.8603,170.0205,0.9306666666666666,0.06601217778493067,0.864654488881736,False,Attack_37,AIT201_ATTACK_RANGE_024
Attack_8,AIT201,263.2979,263.6504,0.9455252918287937,0.08824725498169987,0.8572780368470939,False,Attack_8,AIT201_ATTACK_RANGE_025
Attack_3,AIT201,263.3299,263.4581,0.9150326797385621,0.05815261044176707,0.8568800692967949,False,Attack_3,AIT201_ATTACK_RANGE_026
Attack_25,AIT202,8.570431,8.580364,0.9713701431492843,0.016170258562703474,0.9551998845865808,False,Attack_25,AIT202_ATTACK_RANGE_000
Attack_3,AIT202,8.445143,8.45059,0.9640522875816994,0.01250334672021419,0.9515489408614852,False,Attack_3,AIT202_ATTACK_RANGE_001
