,precision,recall,f1-score,support
Normal,0.9930031301786043,0.9941013824884792,0.9935519528371407,5425.0
Attack_1,1.0,0.9840425531914894,0.9919571045576407,188.0
Attack_2,1.0,1.0,1.0,89.0
Attack_3,0.9506172839506173,1.0,0.9746835443037974,77.0
Attack_4,0.9620253164556962,0.9743589743589743,0.9681528662420382,78.0
Attack_6,0.9512195121951219,1.0,0.975,39.0
Attack_7,1.0,1.0,1.0,86.0
Attack_8,0.9796954314720813,1.0,0.9897435897435898,193.0
Attack_10,1.0,0.84375,0.9152542372881356,32.0
Attack_11,1.0,1.0,1.0,112.0
Attack_13,1.0,0.9787234042553191,0.989247311827957,47.0
Attack_16,0.9821428571428571,1.0,0.990990990990991,55.0
Attack_17,0.9727891156462585,1.0,0.9862068965517241,143.0
Attack_19,1.0,0.9615384615384616,0.9803921568627451,52.0
Attack_20,0.9397590361445783,0.9873417721518988,0.9629629629629629,79.0
Attack_21,0.993103448275862,1.0,0.9965397923875432,144.0
Attack_22,1.0,0.978494623655914,0.9891304347826086,93.0
Attack_23,0.9856115107913669,0.9856115107913669,0.9856115107913669,139.0
Attack_24,0.96875,0.96875,0.96875,64.0
Attack_25,0.983739837398374,0.9918032786885246,0.9877551020408163,122.0
Attack_26,1.0,0.9896193771626297,0.9947826086956522,289.0
Attack_27,0.9970501474926253,1.0,0.9985228951255539,338.0
Attack_28,0.9891891891891892,0.9945652173913043,0.991869918699187,184.0
Attack_29,1.0,0.9583333333333334,0.9787234042553191,24.0
Attack_30,1.0,1.0,1.0,234.0
Attack_31,1.0,1.0,1.0,73.0
Attack_32,1.0,0.9833333333333333,0.9915966386554622,120.0
Attack_33,1.0,0.9438202247191011,0.9710982658959537,89.0
Attack_34,1.0,0.9,0.9473684210526315,20.0
Attack_35,0.9896907216494846,1.0,0.9948186528497409,96.0
Attack_36,1.0,1.0,1.0,108.0
Attack_37,0.9894736842105263,1.0,0.9947089947089947,94.0
Attack_38,1.0,0.9642857142857143,0.9818181818181818,56.0
Attack_39,1.0,0.9625,0.9808917197452229,80.0
Attack_40,1.0,1.0,1.0,59.0
Attack_41,1.0,0.9970149253731343,0.9985052316890882,335.0
accuracy,0.9922800338409475,0.9922800338409475,0.9922800338409475,0.9922800338409475
macro avg,0.9896627839498122,0.9817218912977493,0.9852954274267235,9456.0
weighted avg,0.9923732744843347,0.9922800338409475,0.9922584964850207,9456.0
