class,rank,final_logic_index,weight,level,stage,logical_type,expression,leaf_conditions
Normal,1,152,2.5866730213165283,h1,4,AND,(144.143 <= AIT402 <= 144.835 AND 144.143 <= AIT402 <= 144.835),AIT402_ATTACK_RANGE_014 | AIT402_ATTACK_RANGE_014
Normal,2,193,2.424717664718628,h1,5,AND,(141.938 <= AIT502 <= 142.656 AND 141.938 <= AIT502 <= 142.656),AIT502_ATTACK_RANGE_004 | AIT502_ATTACK_RANGE_004
Normal,3,147,2.41998028755188,h1,4,AND,(146.373 <= AIT402 <= 146.885 AND 146.373 <= AIT402 <= 146.885),AIT402_ATTACK_RANGE_001 | AIT402_ATTACK_RANGE_001
Normal,4,77,2.3952219486236572,h1,2,OR,(169.860 <= AIT201 <= 170.020 OR P201 = 2),AIT201_ATTACK_RANGE_024 | P201_EQ_2
Normal,5,83,2.310436487197876,h1,2,OR,(330.710 <= AIT203 <= 331.197 OR AIT201 < 169.892),AIT203_ATTACK_RANGE_006 | AIT201_LOW
Normal,6,224,2.167696475982666,h1,5,OR,(15.6268 <= AIT504 <= 16.3035 OR 142.938 <= AIT502 <= 143.502),AIT504_ATTACK_RANGE_010 | AIT502_ATTACK_RANGE_009
Normal,7,234,2.153653383255005,h1,5,OR,(141.938 <= AIT502 <= 142.656 OR 261.343 <= AIT503 <= 262.369),AIT502_ATTACK_RANGE_004 | AIT503_ATTACK_RANGE_012
Normal,8,204,2.1460516452789307,h1,5,AND,(7.8600 <= AIT501 <= 7.8632 AND 7.8600 <= AIT501 <= 7.8632),AIT501_ATTACK_RANGE_017 | AIT501_ATTACK_RANGE_017
Normal,9,238,2.1396782398223877,h1,5,OR,(142.938 <= AIT502 <= 143.502 OR 136.504 <= AIT502 <= 137.042),AIT502_ATTACK_RANGE_009 | AIT502_ATTACK_RANGE_006
Normal,10,216,2.121586561203003,h1,5,OR,(PIT503 < 185.529 OR 134.595 <= PIT503 <= 185.690),PIT503_LOW | PIT503_ATTACK_RANGE_002
Attack_1,1,234,6.125870704650879,h1,5,OR,(141.938 <= AIT502 <= 142.656 OR 261.343 <= AIT503 <= 262.369),AIT502_ATTACK_RANGE_004 | AIT503_ATTACK_RANGE_012
