class,condition,semantic_condition,train_attack_match,validation_attack_match,selected_gt_0_9
Normal,AIT402_ATTACK_RANGE_014,144.143 <= AIT402 <= 144.835,0.11280813332714358,0.11581709145427287,False
Normal,AIT502_ATTACK_RANGE_004,141.938 <= AIT502 <= 142.656,0.05236525695185924,0.05022488755622189,False
Normal,AIT402_ATTACK_RANGE_001,146.373 <= AIT402 <= 146.885,0.01620166194698482,0.016304347826086956,False
Normal,AIT201_ATTACK_RANGE_024,169.860 <= AIT201 <= 170.020,0.0887609674574068,0.08901799100449775,False
Normal,P201_EQ_2,P201 = 2,0.1852281695371617,0.18497001499250376,False
Normal,AIT203_ATTACK_RANGE_006,330.710 <= AIT203 <= 331.197,0.013369852838772574,0.013868065967016492,False
Normal,AIT201_LOW,AIT201 < 169.892,0.04530894573139594,0.04891304347826087,False
Normal,AIT504_ATTACK_RANGE_010,15.6268 <= AIT504 <= 16.3035,0.047165869736781024,0.04404047976011994,False
Normal,AIT502_ATTACK_RANGE_009,142.938 <= AIT502 <= 143.502,0.0794763474304814,0.07964767616191903,False
Normal,AIT503_ATTACK_RANGE_012,261.343 <= AIT503 <= 262.369,0.1045912446033146,0.1040104947526237,False
Normal,AIT501_ATTACK_RANGE_017,7.8600 <= AIT501 <= 7.8632,0.060350030175015085,0.06259370314842579,False
Normal,AIT502_ATTACK_RANGE_006,136.504 <= AIT502 <= 137.042,0.046655215635300125,0.04760119940029985,False
Normal,PIT503_LOW,PIT503 < 185.529,0.04930133234297386,0.047976011994003,False
Normal,PIT503_ATTACK_RANGE_002,134.595 <= PIT503 <= 185.690,0.06155703077851539,0.06128185907046477,False
Attack_1,AIT502_ATTACK_RANGE_004,141.938 <= AIT502 <= 142.656,0.0,0.0,False
Attack_1,AIT503_ATTACK_RANGE_012,261.343 <= AIT503 <= 262.369,0.9521276595744681,0.9627659574468085,True
Attack_1,LIT301_LOW,LIT301 < 800.115,0.16888297872340424,0.19680851063829788,False
Attack_1,LIT101_HIGH,LIT101 > 813.513,1.0,1.0,True
Attack_1,P101_EQ_1,P101 = 1,0.08377659574468085,0.07446808510638298,False
Attack_1,PIT501_ATTACK_RANGE_002,250.481 <= PIT501 <= 250.961,0.125,0.13297872340425532,False
Attack_1,AIT202_ATTACK_RANGE_008,8.3920 <= AIT202 <= 8.4003,0.8457446808510638,0.8563829787234043,False
Attack_1,AIT201_ATTACK_RANGE_023,263.298 <= AIT201 <= 263.650,0.005319148936170213,0.005319148936170213,False
Attack_1,AIT201_ATTACK_RANGE_019,262.305 <= AIT201 <= 262.689,0.9454787234042553,0.9414893617021277,True
Attack_1,AIT402_ATTACK_RANGE_011,154.550 <= AIT402 <= 155.063,0.37898936170212766,0.4734042553191489,False
Attack_1,AIT203_ATTACK_RANGE_006,330.710 <= AIT203 <= 331.197,0.11702127659574468,0.13297872340425532,False
Attack_1,AIT201_LOW,AIT201 < 169.892,0.0,0.0,False
Attack_2,AIT402_ATTACK_RANGE_005,155.037 <= AIT402 <= 155.268,0.2563380281690141,0.14772727272727273,False
Attack_2,AIT202_ATTACK_RANGE_006,8.4317 <= AIT202 <= 8.4493,0.0,0.0,False
Attack_2,FIT201_ATTACK_RANGE_000,2.7836 <= FIT201 <= 2.8209,0.952112676056338,1.0,True
Attack_2,LIT101_LOW,LIT101 < 494.153,0.2056338028169014,0.125,False
Attack_2,MV101_EQ_1,MV101 = 1,0.7633802816901408,0.8636363636363636,False
Attack_2,AIT201_ATTACK_RANGE_023,263.298 <= AIT201 <= 263.650,0.0,0.0,False
Attack_2,AIT201_ATTACK_RANGE_019,262.305 <= AIT201 <= 262.689,0.952112676056338,0.9886363636363636,True
Attack_2,FIT201_HIGH,FIT201 > 2.4645,0.9746478873239437,1.0,True
Attack_2,AIT202_ATTACK_RANGE_011,8.4279 <= AIT202 <= 8.4387,0.0,0.0,False
Attack_2,MV301_EQ_2,MV301 = 2,0.07323943661971831,0.07954545454545454,False
Attack_2,LIT301_ATTACK_RANGE_004,916.191 <= LIT301 <= 932.854,0.29859154929577464,0.2727272727272727,False
Attack_2,AIT202_ATTACK_RANGE_013,8.3775 <= AIT202 <= 8.3900,0.9098591549295775,0.8636363636363636,True
Attack_3,AIT201_HIGH,AIT201 > 263.362,0.30618892508143325,0.3157894736842105,False
Attack_3,AIT201_ATTACK_RANGE_023,263.298 <= AIT201 <= 263.650,1.0,1.0,True
Attack_3,AIT203_ATTACK_RANGE_015,316.557 <= AIT203 <= 318.713,0.9218241042345277,0.9605263157894737,True
Attack_3,AIT503_ATTACK_RANGE_003,263.747 <= AIT503 <= 263.971,0.9739413680781759,0.9342105263157895,True
Attack_3,AIT501_ATTACK_RANGE_000,7.8796 <= AIT501 <= 7.8821,0.990228013029316,1.0,True
Attack_3,AIT202_ATTACK_RANGE_006,8.4317 <= AIT202 <= 8.4493,0.8599348534201955,0.8552631578947368,False
Attack_3,AIT201_ATTACK_RANGE_019,262.305 <= AIT201 <= 262.689,0.0,0.0,False
Attack_3,P302_EQ_1,P302 = 1,0.8078175895765473,0.8947368421052632,False
Attack_3,LIT101_HIGH,LIT101 > 813.513,0.31921824104234525,0.34210526315789475,False
Attack_3,AIT203_ATTACK_RANGE_007,304.947 <= AIT203 <= 305.178,0.0,0.0,False
Attack_3,LIT401_HIGH,LIT401 > 984.248,0.38436482084690554,0.27631578947368424,False
Attack_4,AIT203_ATTACK_RANGE_006,330.710 <= AIT203 <= 331.197,0.967948717948718,0.9358974358974359,True
Attack_4,AIT201_LOW,AIT201 < 169.892,0.0,0.0,False
Attack_4,AIT402_ATTACK_RANGE_011,154.550 <= AIT402 <= 155.063,0.9711538461538461,0.9871794871794872,True
Attack_4,AIT502_ATTACK_RANGE_004,141.938 <= AIT502 <= 142.656,0.0,0.0,False
Attack_4,AIT503_ATTACK_RANGE_012,261.343 <= AIT503 <= 262.369,0.532051282051282,0.41025641025641024,False
Attack_4,AIT203_ATTACK_RANGE_007,304.947 <= AIT203 <= 305.178,0.0,0.0,False
Attack_4,AIT201_ATTACK_RANGE_001,263.138 <= AIT201 <= 263.202,0.6634615384615384,0.6923076923076923,False
Attack_4,AIT501_ATTACK_RANGE_025,7.6825 <= AIT501 <= 7.7719,0.0,0.0,False
Attack_4,AIT501_ATTACK_RANGE_021,7.8725 <= AIT501 <= 7.8786,0.7115384615384616,0.7692307692307693,False
Attack_4,AIT202_ATTACK_RANGE_003,8.3660 <= AIT202 <= 8.3727,0.9807692307692307,0.9871794871794872,True
Attack_4,AIT203_ATTACK_RANGE_017,304.819 <= AIT203 <= 307.255,0.0,0.0,False
Attack_4,AIT502_ATTACK_RANGE_014,138.170 <= AIT502 <= 138.939,0.0,0.0,False
Attack_4,AIT201_ATTACK_RANGE_008,263.106 <= AIT201 <= 263.170,0.6858974358974359,0.7051282051282052,False
Attack_4,AIT201_HIGH,AIT201 > 263.362,0.019230769230769232,0.01282051282051282,False
Attack_4,AIT201_ATTACK_RANGE_023,263.298 <= AIT201 <= 263.650,0.10576923076923077,0.14102564102564102,False
Attack_4,AIT502_ATTACK_RANGE_009,142.938 <= AIT502 <= 143.502,0.0,0.0,False
Attack_4,AIT502_ATTACK_RANGE_006,136.504 <= AIT502 <= 137.042,0.0,0.0,False
Attack_6,AIT202_ATTACK_RANGE_006,8.4317 <= AIT202 <= 8.4493,0.0,0.0,False
Attack_6,AIT201_HIGH,AIT201 > 263.362,0.9745222929936306,0.9743589743589743,True
Attack_6,P203_EQ_1,P203 = 1,0.9171974522292994,0.8461538461538461,True
Attack_6,AIT402_ATTACK_RANGE_005,155.037 <= AIT402 <= 155.268,0.9554140127388535,1.0,True
Attack_6,AIT402_ATTACK_RANGE_011,154.550 <= AIT402 <= 155.063,0.17197452229299362,0.2564102564102564,False
Attack_6,AIT502_ATTACK_RANGE_004,141.938 <= AIT502 <= 142.656,0.0,0.0,False
Attack_6,AIT503_ATTACK_RANGE_012,261.343 <= AIT503 <= 262.369,1.0,1.0,True
Attack_6,AIT402_ATTACK_RANGE_000,149.680 <= AIT402 <= 150.551,0.0,0.0,False
Attack_6,FIT401_HIGH,FIT401 > 1.7288,0.01910828025477707,0.02564102564102564,False
Attack_6,DPIT301_HIGH,DPIT301 > 20.2798,0.0,0.0,False
Attack_6,FIT301_HIGH,FIT301 > 2.2146,0.10191082802547771,0.1282051282051282,False
Attack_6,AIT203_ATTACK_RANGE_007,304.947 <= AIT203 <= 305.178,0.0,0.0,False
Attack_6,AIT201_ATTACK_RANGE_001,263.138 <= AIT201 <= 263.202,0.025477707006369428,0.02564102564102564,False
Attack_6,P101_EQ_2,P101 = 2,1.0,1.0,True
Attack_6,AIT201_ATTACK_RANGE_023,263.298 <= AIT201 <= 263.650,0.9745222929936306,0.9743589743589743,True
Attack_7,FIT201_HIGH,FIT201 > 2.4645,0.0,0.0,False
Attack_7,AIT202_ATTACK_RANGE_011,8.4279 <= AIT202 <= 8.4387,0.9215116279069767,0.8705882352941177,True
Attack_7,AIT202_ATTACK_RANGE_008,8.3920 <= AIT202 <= 8.4003,0.01744186046511628,0.011764705882352941,False
Attack_7,AIT202_ATTACK_RANGE_007,8.3843 <= AIT202 <= 8.3887,0.005813953488372093,0.0,False
Attack_7,LIT301_LOW,LIT301 < 800.115,0.04941860465116279,0.047058823529411764,False
Attack_7,AIT202_ATTACK_RANGE_006,8.4317 <= AIT202 <= 8.4493,0.8808139534883721,0.8117647058823529,False
Attack_7,AIT201_HIGH,AIT201 > 263.362,1.0,1.0,True
Attack_7,AIT203_ATTACK_RANGE_015,316.557 <= AIT203 <= 318.713,0.8255813953488372,0.8,False
Attack_7,AIT203_ATTACK_RANGE_017,304.819 <= AIT203 <= 307.255,0.0,0.0,False
Attack_7,AIT201_ATTACK_RANGE_023,263.298 <= AIT201 <= 263.650,0.46511627906976744,0.4823529411764706,False
Attack_7,LIT301_ATTACK_RANGE_004,916.191 <= LIT301 <= 932.854,0.0,0.0,False
Attack_7,LIT301_HIGH,LIT301 > 1010.758,0.9505813953488372,0.9529411764705882,True
Attack_7,LIT301_ATTACK_RANGE_001,1200.000 <= LIT301 <= 1200.000,0.9505813953488372,0.9529411764705882,True
Attack_8,AIT502_ATTACK_RANGE_004,141.938 <= AIT502 <= 142.656,0.16968911917098445,0.203125,False
Attack_8,AIT402_ATTACK_RANGE_011,154.550 <= AIT402 <= 155.063,0.11658031088082901,0.09375,False
Attack_8,MV304_EQ_2,MV304 = 2,0.5595854922279793,0.4791666666666667,False
Attack_8,LIT401_LOW,LIT401 < 738.349,0.5349740932642487,0.5364583333333334,False
Attack_8,AIT402_ATTACK_RANGE_005,155.037 <= AIT402 <= 155.268,0.08808290155440414,0.11458333333333333,False
Attack_8,AIT503_ATTACK_RANGE_004,269.995 <= AIT503 <= 270.411,0.022020725388601035,0.015625,False
Attack_8,DPIT301_HIGH,DPIT301 > 20.2798,0.9792746113989638,0.984375,True
Attack_8,DPIT301_ATTACK_RANGE_001,45.0000 <= DPIT301 <= 45.0000,0.9792746113989638,0.984375,True
Attack_8,DPIT301_ATTACK_RANGE_000,2.0616 <= DPIT301 <= 2.0616,0.0,0.0,False
Attack_8,LIT301_ATTACK_RANGE_002,844.896 <= LIT301 <= 849.902,0.010362694300518135,0.010416666666666666,False
Attack_10,AIT502_ATTACK_RANGE_004,141.938 <= AIT502 <= 142.656,0.0,0.0,False
Attack_10,AIT503_ATTACK_RANGE_004,269.995 <= AIT503 <= 270.411,0.21875,0.15625,False
Attack_10,FIT401_ATTACK_RANGE_000,0.000000 <= FIT401 <= 0.700000,1.0,1.0,True
Attack_10,AIT402_ATTACK_RANGE_004,146.065 <= AIT402 <= 146.834,0.0,0.0,False
Attack_10,AIT402_HIGH,AIT402 > 157.190,0.8828125,0.84375,False
Attack_10,AIT402_NORMAL,143.861 <= AIT402 <= 157.190,0.1171875,0.15625,False
Attack_10,AIT203_ATTACK_RANGE_007,304.947 <= AIT203 <= 305.178,0.0,0.0,False
Attack_10,AIT201_ATTACK_RANGE_001,263.138 <= AIT201 <= 263.202,1.0,1.0,True
Attack_10,FIT401_LOW,FIT401 < 1.7070,1.0,1.0,True
Attack_10,AIT402_ATTACK_RANGE_009,148.398 <= AIT402 <= 148.987,0.0,0.0,False
Attack_10,FIT601_HIGH,FIT601 > 0.000128,0.0,0.0,False
Attack_10,AIT402_ATTACK_RANGE_013,143.655 <= AIT402 <= 144.450,0.0,0.0,False
Attack_10,UV401_EQ_1,UV401 = 1,0.125,0.0625,False
Attack_10,FIT401_ATTACK_RANGE_001,0.000000 <= FIT401 <= 0.000000,0.125,0.0625,False
Attack_11,AIT402_HIGH,AIT402 > 157.190,0.9755011135857461,0.9732142857142857,True
Attack_11,PIT501_LOW,PIT501 < 246.219,1.0,1.0,True
