class,num_selected_conditions,selected_binary_conditions,deterministic_rule,train_attack_rule_match,validation_precision,validation_recall,validation_f1,validation_tp,validation_fp,validation_fn
Normal,0,,(no condition exceeded 0.9),0.0,0.0,0.0,0.0,0,0,5336
Attack_1,3,AIT503_ATTACK_RANGE_012 | LIT101_HIGH | AIT201_ATTACK_RANGE_019,261.343 <= AIT503 <= 262.369 AND LIT101 > 813.513 AND 262.305 <= AIT201 <= 262.689,0.8976063829787234,0.9090909090909091,0.9042553191489362,0.9066666666666666,170,17,18
Attack_2,4,FIT201_ATTACK_RANGE_000 | AIT201_ATTACK_RANGE_019 | FIT201_HIGH | AIT202_ATTACK_RANGE_013,2.7836 <= FIT201 <= 2.8209 AND 262.305 <= AIT201 <= 262.689 AND FIT201 > 2.4645 AND 8.3775 <= AIT202 <= 8.3900,0.8394366197183099,1.0,0.8522727272727273,0.9202453987730062,75,0,13
Attack_3,4,AIT201_ATTACK_RANGE_023 | AIT203_ATTACK_RANGE_015 | AIT503_ATTACK_RANGE_003 | AIT501_ATTACK_RANGE_000,263.298 <= AIT201 <= 263.650 AND 316.557 <= AIT203 <= 318.713 AND 263.747 <= AIT503 <= 263.971 AND 7.8796 <= AIT501 <= 7.8821,0.8957654723127035,1.0,0.8947368421052632,0.9444444444444444,68,0,8
Attack_4,3,AIT203_ATTACK_RANGE_006 | AIT402_ATTACK_RANGE_011 | AIT202_ATTACK_RANGE_003,330.710 <= AIT203 <= 331.197 AND 154.550 <= AIT402 <= 155.063 AND 8.3660 <= AIT202 <= 8.3727,0.9198717948717948,0.7244897959183674,0.9102564102564102,0.8068181818181819,71,27,7
Attack_6,6,AIT201_HIGH | P203_EQ_1 | AIT402_ATTACK_RANGE_005 | AIT503_ATTACK_RANGE_012 | P101_EQ_2 | AIT201_ATTACK_RANGE_023,AIT201 > 263.362 AND P203 = 1 AND 155.037 <= AIT402 <= 155.268 AND 261.343 <= AIT503 <= 262.369 AND P101 = 2 AND 263.298 <= AIT201 <= 263.650,0.8471337579617835,1.0,0.8205128205128205,0.9014084507042254,32,0,7
Attack_7,4,AIT202_ATTACK_RANGE_011 | AIT201_HIGH | LIT301_HIGH | LIT301_ATTACK_RANGE_001,8.4279 <= AIT202 <= 8.4387 AND AIT201 > 263.362 AND LIT301 > 1010.758 AND 1200.000 <= LIT301 <= 1200.000,0.875,1.0,0.8235294117647058,0.9032258064516129,70,0,15
Attack_8,2,DPIT301_HIGH | DPIT301_ATTACK_RANGE_001,DPIT301 > 20.2798 AND 45.0000 <= DPIT301 <= 45.0000,0.9792746113989638,0.5675675675675675,0.984375,0.7200000000000001,189,144,3
Attack_10,3,FIT401_ATTACK_RANGE_000 | AIT201_ATTACK_RANGE_001 | FIT401_LOW,0.000000 <= FIT401 <= 0.700000 AND 263.138 <= AIT201 <= 263.202 AND FIT401 < 1.7070,1.0,0.22695035460992907,1.0,0.36994219653179194,32,109,0
Attack_11,5,AIT402_HIGH | PIT501_LOW | FIT504_ATTACK_RANGE_000 | PIT503_LOW | FIT401_ATTACK_RANGE_000,AIT402 > 157.190 AND PIT501 < 246.219 AND 0.000000 <= FIT504 <= 0.000000 AND PIT503 < 185.529 AND 0.000000 <= FIT401 <= 0.700000,0.9443207126948775,0.33762057877813506,0.9375,0.4964539007092199,105,206,7
