,precision,recall,f1-score,support
Normal,0.9756505576208179,0.9836956521739131,0.9796565882792087,5336.0
Attack_1,0.9788359788359788,0.9840425531914894,0.9814323607427056,188.0
Attack_2,0.9887640449438202,1.0,0.9943502824858758,88.0
Attack_3,1.0,0.8289473684210527,0.9064748201438849,76.0
Attack_4,0.9818181818181818,0.6923076923076923,0.8120300751879699,78.0
Attack_6,0.868421052631579,0.8461538461538461,0.8571428571428571,39.0
Attack_7,0.9767441860465116,0.9882352941176471,0.9824561403508771,85.0
Attack_8,0.9948186528497409,1.0,0.9974025974025974,192.0
Attack_10,0.6842105263157895,0.8125,0.7428571428571429,32.0
Attack_11,0.9824561403508771,1.0,0.9911504424778761,112.0
Attack_13,0.8275862068965517,0.5217391304347826,0.64,46.0
Attack_16,0.9821428571428571,1.0,0.990990990990991,55.0
Attack_17,0.9856115107913669,0.958041958041958,0.9716312056737588,143.0
Attack_19,0.9787234042553191,0.9019607843137255,0.9387755102040817,51.0
Attack_20,0.8409090909090909,0.9367088607594937,0.8862275449101796,79.0
Attack_21,1.0,0.9722222222222222,0.9859154929577465,144.0
Attack_22,0.989247311827957,1.0,0.9945945945945946,92.0
Attack_23,0.952054794520548,1.0,0.9754385964912281,139.0
Attack_24,1.0,1.0,1.0,64.0
Attack_25,0.9838709677419355,1.0,0.991869918699187,122.0
Attack_26,0.993127147766323,1.0,0.996551724137931,289.0
Attack_27,0.9970501474926253,1.0,0.9985228951255539,338.0
Attack_28,1.0,0.9891304347826086,0.994535519125683,184.0
Attack_29,0.875,0.875,0.875,24.0
Attack_30,0.9957446808510638,1.0,0.997867803837953,234.0
Attack_31,1.0,1.0,1.0,73.0
Attack_32,1.0,0.975,0.9873417721518988,120.0
Attack_33,1.0,0.8977272727272727,0.9461077844311377,88.0
Attack_34,0.6111111111111112,0.55,0.5789473684210527,20.0
Attack_35,1.0,1.0,1.0,96.0
Attack_36,1.0,1.0,1.0,108.0
Attack_37,1.0,1.0,1.0,93.0
Attack_38,0.8620689655172413,0.8928571428571429,0.8771929824561403,56.0
Attack_39,0.9176470588235294,0.975,0.9454545454545454,80.0
Attack_40,1.0,0.9152542372881356,0.9557522123893806,59.0
Attack_41,1.0,1.0,1.0,335.0
accuracy,0.976383842701432,0.976383842701432,0.976383842701432,0.976383842701432
macro avg,0.9506559604739115,0.9304590124942496,0.9381575491423343,9358.0
weighted avg,0.976511827737145,0.976383842701432,0.9758731271076965,9358.0
