split,temperature,teacher_accuracy,mean_top1_probability,mean_true_class_probability,mean_normalized_entropy,mean_top2_probability_gap,mean_row_logit_range,mean_abs_logit
train,1,1.0,0.9999999996624371,0.9999999996624371,1.8456898296400728e-09,0.9999999993922073,98.1518721036822,86.71566048165437
train,2,1.0,0.9999945363158521,0.9999945363158521,1.7357515957031785e-05,0.9999909240980255,98.1518721036822,86.71566048165437
train,5,1.0,0.9934156354412464,0.9934156354412464,0.012799284066035244,0.9910101122523702,98.1518721036822,86.71566048165437
train,10,1.0,0.8537662432301201,0.8537662432301201,0.21819453600575903,0.8268628978235582,98.1518721036822,86.71566048165437
train,20,1.0,0.40691104850348525,0.40691104850348525,0.7276734372165361,0.3486635378327901,98.1518721036822,86.71566048165437
train,50,1.0,0.09917901389961653,0.09917901389961653,0.9741000390465642,0.05415767018606674,98.1518721036822,86.71566048165437
train,100,1.0,0.053098632247906036,0.053098632247906036,0.994921098156294,0.017113736168595493,98.1518721036822,86.71566048165437
validation,1,0.9976490703141697,0.9995665494237744,0.9973863530913738,0.0002563313784773086,0.9991338579568687,97.48481911326563,86.66963702854285
validation,2,0.9976490703141697,0.9991672849846089,0.9971839449869966,0.0006141972281633611,0.9983573903208348,97.48481911326563,86.66963702854285
validation,5,0.9976490703141697,0.9899505355470875,0.9885270303072236,0.015795590253766215,0.9846647242066088,97.48481911326563,86.66963702854285
validation,10,0.9976490703141697,0.8467674371594396,0.8460378660194706,0.22425083501876447,0.8153459450466235,97.48481911326563,86.66963702854285
validation,20,0.9976490703141697,0.3998645051598776,0.39968018382957393,0.7332350703926162,0.33924738498944085,97.48481911326563,86.66963702854285
validation,50,0.9976490703141697,0.09798749504036265,0.09795991995299277,0.9745187070520273,0.05255002900276965,97.48481911326563,86.66963702854285
validation,100,0.9976490703141697,0.05277614134918096,0.05276691965958428,0.9949742538942601,0.01664300384366796,97.48481911326563,86.66963702854285
