source_attack,sensor,low,high,target_coverage,other_coverage,specificity_score,attack_train_samples,fallback_selected,source_attacks,feature_name
Attack_39,AIT201,170.0205,170.0205,1.0,0.004201793121905526,0.9957982068780945,321,False,Attack_39,AIT201_ATTACK_RANGE_000
Attack_10,AIT201,263.1377,263.2018,1.0,0.027956760210873847,0.9720432397891261,128,False,Attack_10,AIT201_ATTACK_RANGE_001
Attack_40,AIT201,170.0526,170.0846,0.9705882352941176,0.00141529587694937,0.9691729394171683,238,False,Attack_40,AIT201_ATTACK_RANGE_002
Attack_35,AIT201,176.6534,176.8777,0.987012987012987,0.0188466797136806,0.9681663072993064,385,False,Attack_35,AIT201_ATTACK_RANGE_003
Attack_25,AIT201,220.2961,220.3922,0.9775510204081632,0.013603613291751802,0.9639474071164115,490,False,Attack_25,AIT201_ATTACK_RANGE_004
Attack_33,AIT201,177.4225,177.4545,0.9578651685393258,0.002009107956067506,0.9558560605832583,356,False,Attack_33,AIT201_ATTACK_RANGE_005
Attack_13,AIT201,260.2538,260.382,0.9679144385026738,0.01282700872023254,0.9550874297824412,187,False,Attack_13,AIT201_ATTACK_RANGE_006
Attack_6,AIT201,263.4261,263.4581,0.9745222929936306,0.022835673745636706,0.9516866192479939,157,False,Attack_6,AIT201_ATTACK_RANGE_007
Attack_11,AIT201,263.1056,263.1697,0.9710467706013363,0.019362462067298653,0.9516843085340376,449,False,Attack_11,AIT201_ATTACK_RANGE_008
Attack_22,AIT201,239.6821,239.8103,0.9514824797843666,0.00010719549778909286,0.9513752842865775,371,False,Attack_22,AIT201_ATTACK_RANGE_009
Attack_30,AIT201,181.1074,181.2356,0.9498399146211313,0.007755313069743394,0.9420846015513878,937,False,Attack_30,AIT201_ATTACK_RANGE_010
Attack_41,AIT201,168.9951,169.7962,0.9582089552238806,0.020827601386672535,0.9373813538372081,1340,False,Attack_41,AIT201_ATTACK_RANGE_011
Attack_17,AIT201,260.0936,260.3179,0.975609756097561,0.03855895667169649,0.9370507994258644,574,False,Attack_17,AIT201_ATTACK_RANGE_012
Attack_38,AIT201,169.8923,169.9244,0.9733333333333334,0.037131950561917725,0.9362013827714156,225,False,Attack_38,AIT201_ATTACK_RANGE_013
Attack_24,AIT201,219.9756,220.3922,0.9688715953307393,0.033957626439391916,0.9349139688913474,257,False,Attack_24,AIT201_ATTACK_RANGE_014
Attack_27,AIT201,188.5734,190.2717,0.9334811529933481,0.0032202130294773346,0.9302609399638708,1353,False,Attack_27,AIT201_ATTACK_RANGE_015
Attack_7,AIT201,263.5222,263.6824,0.9273255813953488,0.006641315408922929,0.9206842659864259,344,False,Attack_7,AIT201_ATTACK_RANGE_016
Attack_23,AIT201,234.1387,234.4591,0.921146953405018,0.0013466925231631114,0.9198002608818548,558,False,Attack_23,AIT201_ATTACK_RANGE_017
Attack_16,AIT201,261.2151,262.0482,0.9276018099547512,0.01665554517549713,0.910946264779254,221,False,Attack_16,AIT201_ATTACK_RANGE_018
Attack_1,AIT201,262.3045,262.6891,0.9454787234042553,0.03817620620566416,0.9073025171985911,752,False,Attack_1,AIT201_ATTACK_RANGE_019
Attack_19,AIT201,251.1856,251.3458,0.9423076923076923,0.037275201451518226,0.9050324908561741,208,False,Attack_19,AIT201_ATTACK_RANGE_020
